date,count
2022-01-13,31
2022-01-14,33
2022-01-18,47
2022-01-19,51
2022-01-20,3
2022-01-20,56
2022-01-21,6
2022-01-21,58
2022-01-22,8
2022-01-22,58
2022-01-23,9
2022-01-23,58
2022-01-24,11
2022-01-24,59
2022-01-25,18
2022-01-25,59
2022-01-26,25
2022-01-26,59
2022-01-27,33
2022-01-27,59
2022-01-28,40
2022-01-28,59
2022-01-29,41
2022-01-29,59
2022-01-30,41
2022-01-30,59
2022-01-31,51
2022-01-31,59
2022-02-01,59
2022-02-01,59
2022-02-02,76
2022-02-02,59
2022-02-03,89
2022-02-03,60
2022-02-10,147
2022-02-10,64
2022-02-11,162
2022-02-11,65
2022-02-12,176
2022-02-12,66
2022-02-13,176
2022-02-13,66
2022-02-14,176
2022-02-14,66
2022-02-15,183
2022-02-15,67
2022-02-16,211
2022-02-16,69
2022-02-17,232
2022-02-17,69
2022-02-18,241
2022-02-18,69
2022-02-19,247
2022-02-19,72
2022-02-20,247
2022-02-20,72
2022-02-21,252
2022-02-21,72
2022-02-22,258
2022-02-22,72
2022-02-23,274
2022-02-23,73
2022-02-24,285
2022-02-24,73
2022-02-25,298
2022-02-25,74
2022-02-26,303
2022-02-26,75
2022-02-27,303
2022-02-27,75
2022-02-28,305
2022-02-28,75
2022-03-01,315
2022-03-01,75
2022-03-02,321
2022-03-02,75
2022-03-03,331
2022-03-03,75
2022-03-04,342
2022-03-04,76
2022-03-05,344
2022-03-05,80
2022-03-06,344
2022-03-06,80
2022-03-07,348
2022-03-07,80
2022-03-08,454

2022-03-08,454
2022-03-08,454
2022-03-08,454
2022-03-08,454
2022-03-08,454
2022-03-08,454
2022-03-08,454
2022-03-08,454
2022-03-08,454
2022-03-08,454
2022-03-08,454
2022-03-08,454
2022-03-08,454
2022-03-08,454
2022-03-08,454
2022-03-08,454
2022-03-08,454
2022-03-08,454
2022-03-08,454
2022-03-08,454
2022-03-08,454
2022-03-08,454
